,종목코드,종목명,종류
0,000020,동화약품,KOSPI
1,000030,우리은행,KOSPI
2,000040,S&T;모터스,KOSPI
3,000050,경방,KOSPI
4,000060,메리츠화재,KOSPI
5,000070,삼양홀딩스,KOSPI
6,000075,삼양홀딩스우,KOSPI
7,000080,하이트진로,KOSPI
8,000087,하이트진로2우B,KOSPI
9,000100,유한양행,KOSPI
10,000105,유한양행우,KOSPI
11,000120,CJ대한통운,KOSPI
12,000140,하이트진로홀딩스,KOSPI
13,000145,하이트진로홀딩스우,KOSPI
14,000150,두산,KOSPI
15,000155,두산우,KOSPI
16,000157,두산2우B,KOSPI
17,000180,성창기업지주,KOSPI
18,000210,대림산업,KOSPI
19,000215,대림산업우,KOSPI
20,000220,유유제약,KOSPI
21,000225,유유제약1우,KOSPI
22,000227,유유제약2우B,KOSPI
23,000230,일동홀딩스,KOSPI
24,000240,한국타이어월드와이드,KOSPI
25,000250,삼천당제약,KOSDAQ
26,000270,기아차,KOSPI
27,000300,대유플러스,KOSPI
28,000320,노루홀딩스,KOSPI
29,000325,노루홀딩스우,KOSPI
30,000370,한화손해보험,KOSPI
31,000390,삼화페인트,KOSPI
32,000400,롯데손해보험,KOSPI
33,000430,대원강업,KOSPI
34,000440,중앙에너비스,KOSDAQ
35,000480,조선내화,KOSPI
36,000490,대동공업,KOSPI
37,000500,가온전선,KOSPI
38,000520,삼일제약,KOSPI
39,000540,흥국화재,KOSPI
40,000545,흥국화재우,KOSPI
41,000547,흥국화재2우B,KOSPI
42,000590,CS홀딩스,KOSPI
43,000640,동아쏘시오홀딩스,KOSPI
44,000650,천일고속,KOSPI
45,000660,SK하이닉스,KOSPI
46,000670,영풍,KOSPI
47,000680,LS네트웍스,KOSPI
48,000700,유수홀딩스,KOSPI
49,000720,현대건설,KOSPI
50,000725,현대건설우,KOSPI
51,000760,이화산업,KOSPI
52,000810,삼성화재,KOSPI
53,000815,삼성화재우,KOSPI
54,000850,화천기공,KOSPI
55,000860,강남제비스코,KOSPI
56,000880,한화,KOSPI
57,000885,한화우,KOSPI
58,00088K,한화3우B,KOSPI
59,000890,보해양조,KOSPI
60,000910,유니온,KOSPI
61,000950,전방,KOSPI
62,000970,한국주철관,KOSPI
63,000990,DB하이텍,KOSPI
64,000995,DB하이텍1우,KOSPI
65,001000,신라섬유,KOSDAQ
66,001020,페이퍼코리아,KOSPI
67,001040,CJ,KOSPI
68,001045,CJ우,KOSPI
69,001060,JW중외제약,KOSPI
70,001065,JW중외제약우,KOSPI
71,001067,JW중외제약2우B,KOSPI
72,001070,대한방직,KOSPI
73,001080,만호제강,KOSPI
74,001120,LG상사,KOSPI
75,001130,대한제분,KOSPI
76,001140,국보,KOSPI
77,001200,유진투자증권,KOSPI
78,001210,금호전기,KOSPI
79,001230,동국제강,KOSPI
80,001250,GS글로벌,KOSPI
81,001270,부국증권,KOSPI
82,001275,부국증권우,KOSPI
83,001290,골든브릿지증권,KOSPI
84,001340,백광산업,KOSPI
85,001360,삼성제약,KOSPI
86,001380,SG충방,KOSPI
87,001390,KG케미칼,KOSPI
88,001420,태원물산,KOSPI
89,001430,세아베스틸,KOSPI
90,001450,현대해상,KOSPI
91,001460,BYC,KOSPI
92,001465,BYC우,KOSPI
93,001470,삼부토건,KOSPI
94,001500,현대차투자증권,KOSPI
95,001510,SK증권,KOSPI
96,001515,SK증권우,KOSPI
97,001520,동양,KOSPI
98,001525,동양우,KOSPI
99,001527,동양2우B,KOSPI
100,001529,동양3우B,KOSPI
101,001530,동일방직,KOSPI
102,001540,안국약품,KOSDAQ
103,001550,조비,KOSPI
104,001560,제일연마,KOSPI
105,001570,금양,KOSPI
106,001620,동국실업,KOSPI
107,001630,종근당,KOSPI
108,001680,대상,KOSPI
109,001685,대상우,KOSPI
110,001720,신영증권,KOSPI
111,001725,신영증권우,KOSPI
112,001740,SK네트웍스,KOSPI
113,001745,SK네트웍스우,KOSPI
114,001750,한양증권,KOSPI
115,001755,한양증권우,KOSPI
116,001770,신화실업,KOSPI
117,001780,알루코,KOSPI
118,001790,대한제당,KOSPI
119,001795,대한제당우,KOSPI
120,001799,대한제당3우B,KOSPI
121,001800,오리온홀딩스,KOSPI
122,001810,무림SP,KOSDAQ
123,001820,삼화콘덴서,KOSPI
124,001840,이화공영,KOSDAQ
